code,name,r,g,b
4P0269,SPRINKLE OF GREEN,202,236,189
7P1666,ROSY LIPS,232,199,198
8P0206,DUSTY GRAY,210,211,209
3T0740,HAY BALE,244,218,162
8P2590,COMPASS ROSE,222,204,205
8P0203,TIARA,215,212,205
8P1698,SIERRA SNOW,213,212,207
5P0132,TEAL FOG,171,225,226
1P0317,RISING PINK,228,203,201
8P1818,BRIGHT BROOK,193,214,222
8P2744,SAND IN MY EYE,225,215,193
6T1219,PURPLE SKY,195,207,227
4P1018,WATER'S EDGE,189,219,221
8P2543,FARAWAY,227,208,199
4T0907,PEACE GARDEN,210,230,193
7P2485,WITH THE WIND,235,211,187
7P2472,ANTIQUE SCROLL,230,212,192
8P2688,SILVER FRAME,213,213,209
7P2507,AUTUMN WALK,229,210,196
1P0031,LIGHTHEADED,241,200,192
8P0213,ECHO,203,215,216
1P0029,PALACE LIGHTS,239,204,191
4T0899,CHELSEA GARDEN,200,236,197
4P0117,AQUATONE,194,224,215
4P0102,GLACIER WALL,203,219,213
5P0152,ARUBA MIST,185,210,234
8P1786,LILAC BREEZE,207,209,219
1P0021,PALE CAMEO,231,207,198
1P0554,HUSH BLUSH,243,204,187
8P1778,BEGUILING BLOSSOM,212,208,216
5P1042,DRIFT AWAY,182,221,227
3T2070,MAGNOLIA PETAL,239,221,173
8P2706,JET STREAM,216,212,209
3T0820,YELLOW ROSE,239,227,165
2P0035,APRICOT DATES,235,214,187
4P1002,SWIM TEAM,183,224,224
8P2627,GLOBE TROTTER,193,217,224
7P1466,GREEN PEACE,199,222,215
8P0349,GRAY FELT,214,214,210
8P1762,SHEER STYLE,219,208,211
4P2146,NAIVE GREEN,190,233,211
7P1450,EMERALD CITY,193,223,219
8P1690,FIRST THAW,210,215,213
7P1951,PALE SATIN,222,215,202
8P2750,FROSTED WHITE,226,217,196
7P2413,FROTHY CREAM,226,218,195
4P0930,FLASH OF EMERALD,198,231,208
2T0587,SAND HILLS,245,212,179
4P0261,DREAMY GREEN,222,226,191
7P0188,PALACE WALLS,222,215,203
7P1490,ESMERALDA EVENING,207,224,208
8P1745,MEDINA,227,210,203
1P0506,SWEET TREAT,242,198,198
7P2492,SPICED DISH,236,212,192
7P1442,PROVINCIAL PARK,192,223,222
7P1474,SOFT JADE,199,225,215
8P2616,SHIFTING CLOUDS,206,216,218
1P0562,SAND CORAL,243,208,188
5P1082,SERENE THOUGHTS,180,221,232
6P1274,ALL'S QUIET,210,209,221
4T0883,SPRINGSATION,216,233,191
7P1458,EASTERN LIGHT,197,225,217
8P0199,EGG CREAM,219,217,206
5P0142,ROBIN'S EGG,174,221,236
4P2128,MISTY MORN,209,229,203
3P0055,SILKY SCARF,248,219,169
7P1634,SEA OF CORAL,243,207,190
1P0474,SHELL CREEK,242,197,201
3P0072,YELLOW CHINTZ,241,221,177
5P1114,DREAM A LITTLE DREAM,193,216,229
5P1106,WATERCOLOR BLUE,189,218,230
7P1482,MY GARDEN,204,226,212
4P1026,SEA WAVES,191,223,225
4P1010,SEASIDE CHARM,184,226,227
3P0071,MANGO CUPCAKE,234,224,184
8P2666,GENTLE CREEK,209,218,216
8P2516,NUDE BRUSH,239,207,197
2P0044,ALPACA,245,216,180
4P0978,FRESH AIR,181,232,224
4P2169,SAILOR'S TUNE,202,227,214
4P0118,OCEAN CREST,196,229,217
7P2400,LOTUS LEAF,223,225,197
5P0140,SKY LIFT,196,215,230
3T0732,HONEY BUNCH,251,223,163
4P2160,SPRING DAY,199,228,216
7P1674,PINK SUNSET,229,205,211
5P0139,BLUE WALTZ,183,223,232
7P0333,BLUSHING BRIDE,237,209,199
7P1952,OPALINE,226,217,203
8P2736,SILENT HALL,227,217,202
8P1737,SOFT BEAUTY,227,212,207
8P2571,SOLFEGE,228,212,206
1P0442,PINK DIMITY,241,198,205
8P1753,ARABLE,229,210,207
