code,name,r,g,b
5E6363,8286,94,99,99
89435D,X133,137,67,93
EEB81B,X103,238,184,27
726448,K171,114,100,72
7A4F58,8709,122,79,88
A5414F,X124,165,65,79
924651,K011,146,70,81
6E5D53,K222,110,93,83
636E4F,K152,99,110,79
6F7D39,9813,111,125,57
DC5439,X115,220,84,57
9E5639,X196,158,86,57
9A533D,9952,154,83,61
6F644A,K172,111,100,74
546671,8270,84,102,113
60655B,K147,96,101,91
3AB4B9,9703,58,180,185
8A5443,8613,138,84,67
5B5581,9620,91,85,129
7B683B,K168,123,104,59
8A4D4A,K262,138,77,74
805C41,K195,128,92,65
70525B,K291,112,82,91
D34B3D,0506,211,75,61
49689E,9640,73,104,158
6D614C,K179,109,97,76
6A4C6E,7109,106,76,110
6B4C6C,X140,107,76,108
94513F,9957,148,81,63
765E46,K186,118,94,70
54666B,9470,84,102,107
486E81,7366,72,110,129
7D6639,K169,125,102,57
615669,K044,97,86,105
71476A,9592,113,71,106
756B3B,9862,117,107,59
3BBFC2,9702,59,191,194
FEAB1E,X109,254,171,30
5F7549,7677,95,117,73
407EB6,9651,64,126,182
795E42,K187,121,94,66
8B543F,9930,139,84,63
5B764C,9777,91,118,76
36A484,7550,54,164,132
716046,K177,113,96,70
5C527A,9629,92,82,122
7F4C4F,8101,127,76,79
704964,X139,112,73,100
36B07F,7566,54,176,127
8D4A47,9986,141,74,71
64644F,8405,100,100,79
835442,9950,131,84,66
685E50,8461,104,94,80
75574A,K209,117,87,74
5C4F80,7157,92,79,128
52578D,7205,82,87,141
666E43,9808,102,110,67
9B4841,X118,155,72,65
5A6D52,2361,90,109,82
685954,K280,104,89,84
FEA01C,7949,254,160,28
70584C,K284,112,88,76
82484F,X163,130,72,79
75475D,X136,117,71,93
835242,9958,131,82,66
3A808F,9686,58,128,143
BA3E44,8085,186,62,68
6A6E3D,9845,106,110,61
8A4A45,8669,138,74,69
864E43,9946,134,78,67
558048,9783,85,128,72
6C574F,K271,108,87,79
616151,8397,97,97,81
33BDB2,7511,51,189,178
58635B,K139,88,99,91
536166,K293,83,97,102
7C5E39,9885,124,94,57
8E3F4F,8133,142,63,79
5E506C,7149,94,80,108
6F5B46,K188,111,91,70
983F49,8117,152,63,73
519E40,7653,81,158,64
5E5D57,K120,94,93,87
626946,9846,98,105,70
8E4B3F,0427,142,75,63
81454F,8109,129,69,79
575D62,K296,87,93,98
FEBF19,7869,254,191,25
6A5E47,K178,106,94,71
625E50,8421,98,94,80
695B4B,8453,105,91,75
834E42,9959,131,78,66
7C5B3A,9884,124,91,58
BA433A,X120,186,67,58
784852,K265,120,72,82
953E4A,8125,149,62,74
665E4A,K180,102,94,74
715548,K205,113,85,72
675158,K292,103,81,88
B83F3E,0520,184,63,62
764060,9585,118,64,96
7A5144,9939,122,81,68
31BBB7,7503,49,187,183
556B52,X157,85,107,82
