code,name,r,g,b
NN 9415,Starless night,79,83,87
NN 9416,A satisfactory haggle,194,200,200
NN 9417,Great Indian novel,187,192,188
NN 9418,Cloud flecked sky,172,183,178
NN 9419,The king's elephant,155,170,167
NN 9420,The very last page,147,170,171
NN 9421,Perfectly sliced rock,109,128,130
NN 9422,Period drama,100,119,120
NN 9423,Dayanita's novel,56,70,69
NN 9424,Withered day dream,209,216,212
NN 9425,Under the willow tree,205,213,208
NN 9426,A short story by Manto,174,186,181
NN 9427,A city of tetrapods,166,174,177
NN 9428,Agate grey,158,170,171
NN 9429,Late prayer,157,173,172
NN 9430,Recycled kota,123,133,129
NN 9431,Pretend novelist,91,99,94
NN 9432,Dappled Light,226,228,227
NN 9433,Let it be,209,209,211
NN 9434,Smooth basalt,195,199,196
NN 9435,Salt pans,175,178,171
NN 9436,City by the river,134,139,137
NN 9437,Wild wood sky,133,137,132
NN 9438,Shy cat,106,112,111
NN 9439,Kohl pencil,88,92,91
NN 9440,Shining light,226,233,228
NN 9441,Jaded monsoon,210,220,214
NN 9442,Riverdale,187,197,192
NN 9443,Midnight matinee,166,179,170
NN 9444,Tell me a story,144,157,152
NN 9445,Light sleeper,116,127,123
NN 9446,Elephants slip n slide,101,110,102
NN 9447,Dark Kerala monsoon,81,91,86
NN 9448,Malabar jack,214,219,214
NN 9449,From the hills,204,213,207
NN 9450,Pale forest evening,187,196,186
NN 9451,Shadows in the pool,173,180,172
NN 9452,Soaked manatees,149,162,154
NN 9453,The rocks have fur,123,133,124
NN 9454,River by midnight,96,101,96
NN 9455,Arundhati's hometown,75,83,73
NN 9456,Accidental symmetry,222,228,219
NN 9457,Pools of quiet,202,212,200
NN 9458,City of Dreams,160,169,153
NN 9459,Bouquet of sighs,146,153,137
NN 9460,Dystopian novel,136,142,124
NN 9461,Deep tranquil,106,112,95
NN 9462,Money plants can't count,93,97,83
NN 9463,Old pesto green,82,88,74
NN 9464,Oh is for awe,222,220,211
NN 9465,Familiar strangers,221,220,214
NN 9466,Delhi at dawn,194,195,184
NN 9467,Stormy waters,161,161,144
NN 9468,O'Keefe's imagining,143,144,126
NN 9469,Malabar catamaran,147,151,140
NN 9470,Brooks don't babble,110,117,103
NN 9471,Whisper in a tree,89,98,89
NN 9472,Old groves,200,194,169
NN 9473,Wet cement,188,183,154
NN 9474,Seaweed,167,167,149
NN 9475,Office romance,164,159,134
NN 9476,Secrets in an old box,134,133,112
NN 9477,Car pool friends,125,118,100
NN 9478,Dusky seabed,105,105,90
NN 9479,Formal salute,81,85,72
NN 9480,Renaissance romance,220,217,204
NN 9481,Old money,212,209,191
NN 9482,Nouvelle vague,202,200,182
NN 9483,Mornings in the moor,171,169,150
NN 9484,404 errors,162,158,136
NN 9485,Gently pickled,145,141,118
NN 9486,Steamed zucchini,124,117,88
NN 9487,Secrets of trees,83,80,69
NN 9488,Apple cores,231,233,221
NN 9489,Rock paper scissors,218,220,209
NN 9490,Rivers of sky,211,212,205
NN 9491,Mandrakes in the garden,184,182,170
NN 9492,Under construction,170,171,160
NN 9493,Tangible memory,150,152,140
NN 9494,Watercolour artist,129,125,109
NN 9495,Rain slick forest,114,114,102
NN 9496,Save a story,226,224,213
NN 9497,Pandemic pals,214,210,195
NN 9498,Kitty party goss,191,191,174
NN 9499,Swallows in the sun,174,171,155
NN 9500,Her version of Bombay,170,164,142
NN 9501,Indelicate conversation,147,142,124
NN 9502,Dusty glass windows,133,129,103
NN 9503,Olives in martinis,101,101,89
NN 9504,Cassock grey,209,204,196
NN 9505,Glimmer of hope,206,198,187
NN 9506,Underdog,182,174,163
NN 9507,Frescoes in petra,172,167,159
NN 9508,An imaginarium,149,143,128
NN 9509,Soft shadows,124,117,104
NN 9510,Bats on a chikoo tree,109,108,106
NN 9511,Turn of the century,91,89,86
NN 9512,Man on the moon,225,222,218
NN 9513,Radio on a long drive,214,209,201
NN 9514,Driving miss daisy,193,188,175
NN 9515,Smooth river pebbles,181,175,169
NN 9516,Under a champaca tree,151,148,139
NN 9517,Anime enthusiast,130,128,120
NN 9518,Don't trust a memory,115,112,102
NN 9519,Goths gone wild,112,110,103
NN 9520,Would you?,231,227,223
NN 9521,Museum pearls,219,211,207
